dg_id,dg_name_x,dg_state,SideEffect-ID,Freq-No,SideEffect,indication-ID,indication_name,Unique_Drugs_Count
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0002962,0.001,Angina pectoris,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0003467,0.0587691,Anxiety,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0003467,0.065086,Anxiety,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0003855,0.001,Arteriovenous fistula,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004144,,Pneumothorax,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004144,,Atelectasis,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004238,0.01,Atrial fibrillation,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004238,0.011,Atrial fibrillation,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.028,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.029,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.42,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.423878,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.438866,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.088,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.092,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0004604,0.001,Back pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0005778,,Coagulopathy,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0007177,0.001,Cardiac tamponade,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0008031,0.023,Chest pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0008031,0.023,Chest pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0008031,0.023,Chest pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0008031,0.023,Chest pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0008031,0.023,Chest pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0008031,0.023,Chest pain,C0948089,Acute Coronary Syndrome,2.0
